league_,season_,team_,player_,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,PlayerFBref,fbref_id,tm_id,player_id,marketValue,mv_1yr_ago,mv_6mo_ago,mv_pct_change_1yr,mv_pct_change_6mo,mv_trend_slope,mv_last_diff,mv_std,mv_min,mv_max,mv_peak_age
GER-Bundesliga,2425,Augsburg,Mads Pedersen,DEN,DF,27,1996,7,2,235,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,11,10,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Mads Pedersen,582a5247,288429.0,,2.0,3.5,3.5,-0.42857142857142855,-0.42857142857142855,-0.00018133622226061666,-0.5,1.0359958976752754,0.05,3.5,26.0
GER-Bundesliga,2425,Augsburg,Marius Wolf,GER,DF,29,1995,32,28,2144,23.8,1,3,4,1,0,0,2,0,0.7,0.7,3.2,3.9,36,117,95,0.04,0.13,0.17,0.04,0.17,0.03,0.14,0.16,0.03,0.16,Marius Wolf,fa661778,193900.0,,3.0,10.0,10.0,-0.7,-0.7,-0.0052485169645481045,0.0,3.338198030667747,0.05,10.0,23.0
GER-Bundesliga,2425,Augsburg,Maximilian Bauer,GER,DF,24,2000,11,8,658,7.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,30,7,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,Maximilian Bauer,44a20f0c,388363.0,,3.0,3.5,3.5,-0.14285714285714285,-0.14285714285714285,0.0011487470304237873,0.0,1.2945871474539445,0.2,3.5,22.0
GER-Bundesliga,2425,Augsburg,Phillip Tietz,GER,FW,27,1997,34,19,1686,18.7,7,2,9,6,1,1,4,0,6.1,5.3,1.2,6.5,8,29,113,0.37,0.11,0.48,0.32,0.43,0.33,0.07,0.39,0.28,0.35,Phillip Tietz,3397e7b5,288340.0,,5.0,5.0,5.0,0.0,0.0,0.0032568870473592216,0.0,1.8133187805788589,0.15,5.0,26.0
GER-Bundesliga,2425,Augsburg,Robert Gumny,POL,DF,26,1998,7,2,271,3.0,0,0,0,0,0,0,2,0,0.3,0.3,0.5,0.8,5,10,13,0.0,0.0,0.0,0.0,0.0,0.11,0.15,0.26,0.11,0.26,Robert Gumny,1df0c0b9,353826.0,,1.5,5.0,5.0,-0.7,-0.7,-0.000996540994501843,-0.5,1.5227482890414477,0.05,5.0,20.0
GER-Bundesliga,2425,Augsburg,Ruben Vargas,SUI,"MF,FW",25,1998,8,3,305,3.4,0,0,0,0,0,0,3,0,0.7,0.7,0.7,1.4,9,13,24,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.4,Ruben Vargas,6ecbddf6,345886.0,345886.0,7.0,13.0,13.0,-0.46153846153846156,-0.46153846153846156,-8.680215342990798e-05,0.0,4.063582093449011,0.1,13.0,22.0
GER-Bundesliga,2425,Augsburg,Tim Breithaupt,GER,MF,22,2002,2,2,120,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0.0,0.75,0.75,0.0,0.75,0.04,0.29,0.33,0.04,0.33,Tim Breithaupt,ed98c321,569457.0,,3.0,3.5,3.5,-0.14285714285714285,-0.14285714285714285,0.0005635670617279836,0.0,1.2571311736962012,0.15,3.5,20.0
GER-Bundesliga,2425,Bayern Munich,Aleksandar Pavlovic,GER,MF,20,2004,21,18,1451,16.1,1,0,1,1,0,0,2,0,0.6,0.6,0.2,0.8,15,128,33,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.05,0.03,0.05,Aleksandar Pavlovic,2658c82f,792380.0,792380.0,55.0,30.0,50.0,0.8333333333333334,0.1,0.0947298275249094,5.0,22.808436200335215,0.2,55.0,21.0
GER-Bundesliga,2425,Bayern Munich,Alphonso Davies,CAN,DF,23,2000,19,17,1560,17.3,1,2,3,1,0,0,0,0,1.2,1.2,1.6,2.8,81,120,140,0.06,0.12,0.17,0.06,0.17,0.07,0.09,0.16,0.07,0.16,Alphonso Davies,d781d855,424204.0,424204.0,50.0,80.0,80.0,-0.375,-0.375,-0.02296147214919483,0.0,28.22571788281035,0.2,80.0,19.0
GER-Bundesliga,2425,Bayern Munich,Dayot Upamecano,FRA,DF,25,1998,20,20,1759,19.5,2,0,2,2,0,0,6,0,1.2,1.2,0.5,1.7,17,137,4,0.1,0.0,0.1,0.1,0.1,0.06,0.03,0.09,0.06,0.09,Dayot Upamecano,d248cd8f,344695.0,344695.0,50.0,60.0,60.0,-0.16666666666666666,-0.16666666666666666,0.0024749831812507215,0.0,20.559065444656575,0.8,60.0,21.0
GER-Bundesliga,2425,Bayern Munich,Eric Dier,ENG,DF,30,1994,21,16,1463,16.3,2,1,3,2,0,0,1,0,1.1,1.1,0.1,1.2,12,73,1,0.12,0.06,0.18,0.12,0.18,0.07,0.01,0.08,0.07,0.08,Eric Dier,ac861941,175722.0,175722.0,8.0,40.0,40.0,-0.8,-0.8,-0.022226151426583098,0.0,11.448373705649276,0.6,40.0,23.0
GER-Bundesliga,2425,Bayern Munich,Harry Kane,ENG,FW,31,1993,31,28,2381,26.5,26,9,35,17,9,9,5,0,20.3,13.3,5.3,18.6,29,97,143,0.98,0.34,1.32,0.64,0.98,0.77,0.2,0.97,0.5,0.7,Harry Kane,21a66f6a,132098.0,132098.0,75.0,150.0,150.0,-0.5,-0.5,-0.007419948096398394,-15.0,47.52040655769757,0.5,150.0,24.0
GER-Bundesliga,2425,Bayern Munich,Hiroki Ito,JPN,DF,25,1999,6,3,250,2.8,1,0,1,1,0,0,1,0,0.4,0.4,0.4,0.8,3,18,6,0.36,0.0,0.36,0.36,0.36,0.13,0.14,0.27,0.13,0.27,Hiroki Ito,204dded0,353892.0,353892.0,25.0,30.0,30.0,-0.16666666666666666,-0.16666666666666666,0.026780243237172527,-5.0,11.384801763439294,0.05,30.0,25.0
GER-Bundesliga,2425,Bayern Munich,Jamal Musiala,GER,MF,21,2003,25,21,1798,20.0,12,2,14,12,0,0,3,0,9.3,9.3,4.5,13.8,71,107,156,0.6,0.1,0.7,0.6,0.7,0.46,0.23,0.69,0.46,0.69,Jamal Musiala,2c0558b8,580195.0,580195.0,140.0,120.0,130.0,0.16666666666666666,0.07692307692307693,0.061255908196289816,0.0,46.32525409176583,1.0,140.0,21.0
GER-Bundesliga,2425,Bayern Munich,Jonas Urbig,GER,GK,20,2003,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jonas Urbig,925bbcdc,607720.0,607720.0,12.0,4.0,4.0,2.0,2.0,0.008654204866872675,4.0,3.4855378866072253,0.2,12.0,21.0
GER-Bundesliga,2425,Bayern Munich,Joshua Kimmich,GER,MF,29,1995,33,32,2847,31.6,3,7,10,3,0,0,4,0,1.8,1.8,7.4,9.2,51,362,77,0.09,0.22,0.32,0.09,0.32,0.06,0.24,0.29,0.06,0.29,Joshua Kimmich,49296448,161056.0,161056.0,45.0,90.0,90.0,-0.5,-0.5,-0.03673031334587899,-5.0,31.80938946387554,0.3,90.0,26.0
GER-Bundesliga,2425,Bayern Munich,Kim Min-jae,KOR,DF,27,1996,27,27,2283,25.4,2,0,2,2,0,0,2,0,1.6,1.6,0.3,1.9,16,181,5,0.08,0.0,0.08,0.08,0.08,0.06,0.01,0.08,0.06,0.08,Kim Min-jae,e0f8151c,503482.0,503482.0,40.0,60.0,60.0,-0.3333333333333333,-0.3333333333333333,0.03114964628050165,-5.0,22.84015393071919,0.8,60.0,26.0
GER-Bundesliga,2425,Bayern Munich,Kingsley Coman,FRA,FW,28,1996,28,14,1282,14.2,5,4,9,5,0,0,0,0,4.3,4.3,3.3,7.6,66,45,215,0.35,0.28,0.63,0.35,0.63,0.3,0.23,0.53,0.3,0.53,Kingsley Coman,042e8a49,243714.0,243714.0,30.0,65.0,65.0,-0.5384615384615384,-0.5384615384615384,-0.02713108003447035,-5.0,22.461187345614434,0.5,65.0,24.0
GER-Bundesliga,2425,Bayern Munich,Konrad Laimer,AUT,DF,27,1997,29,19,1699,18.9,2,2,4,2,0,0,8,0,2.1,2.1,2.7,4.8,87,141,113,0.11,0.11,0.21,0.11,0.21,0.11,0.14,0.25,0.11,0.25,Konrad Laimer,c1b7847c,223967.0,223967.0,25.0,30.0,30.0,-0.16666666666666666,-0.16666666666666666,-0.002547639494244161,0.0,12.15280793032614,0.05,30.0,22.0
GER-Bundesliga,2425,Bayern Munich,Leon Goretzka,GER,"MF,DF",29,1995,26,13,1325,14.7,4,1,5,4,0,0,2,0,2.8,2.8,1.7,4.4,35,127,28,0.27,0.07,0.34,0.27,0.34,0.19,0.11,0.3,0.19,0.3,Leon Goretzka,cc86b9a3,153084.0,153084.0,22.0,70.0,70.0,-0.6857142857142857,-0.6857142857142857,-0.04659141893884039,0.0,22.19224724514535,0.6,70.0,26.0
GER-Bundesliga,2425,Bayern Munich,Manuel Neuer,GER,GK,38,1986,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Manuel Neuer,8778c910,17259.0,17259.0,4.0,45.0,45.0,-0.9111111111111111,-0.9111111111111111,-0.009457824506573662,0.0,14.893496669874256,0.075,45.0,28.0
GER-Bundesliga,2425,Bayern Munich,Mathys Tel,FRA,"FW,MF",19,2005,8,2,256,2.8,0,1,1,0,0,0,0,0,0.7,0.7,0.3,1.0,6,9,34,0.0,0.35,0.35,0.0,0.35,0.26,0.1,0.36,0.26,0.36,Mathys Tel,829aa60c,801734.0,801734.0,35.0,50.0,50.0,-0.3,-0.3,0.02515951235179701,-5.0,17.58532313446613,1.0,50.0,18.0
GER-Bundesliga,2425,Bayern Munich,Michael Olise,FRA,"FW,MF",22,2001,34,28,2334,25.9,12,15,27,12,0,0,3,0,9.7,9.7,12.0,21.7,119,184,381,0.46,0.58,1.04,0.46,1.04,0.38,0.46,0.84,0.38,0.84,Michael Olise,c4486bac,566723.0,566723.0,100.0,55.0,65.0,0.8181818181818182,0.5384615384615384,0.06050308645074773,20.0,28.83828048016441,0.2,100.0,23.0
GER-Bundesliga,2425,Bayern Munich,Sacha Boey,FRA,DF,23,2000,13,6,593,6.6,0,2,2,0,0,0,1,0,0.1,0.1,1.2,1.3,18,39,63,0.0,0.3,0.3,0.0,0.3,0.02,0.18,0.2,0.02,0.2,Sacha Boey,6c8ddd52,475413.0,475413.0,18.0,22.0,22.0,-0.18181818181818182,-0.18181818181818182,0.014530424016569555,0.0,7.4308615884948646,0.25,22.0,23.0
GER-Bundesliga,2425,Bayern Munich,Serge Gnabry,GER,"FW,MF",29,1995,27,13,1242,13.8,7,5,12,7,0,1,0,0,7.5,6.8,5.1,11.9,44,48,149,0.51,0.36,0.87,0.51,0.87,0.55,0.37,0.92,0.49,0.86,Serge Gnabry,88e357ef,159471.0,159471.0,22.0,90.0,90.0,-0.7555555555555555,-0.7555555555555555,-0.0402085117153212,-3.0,29.0837387414348,0.5,90.0,24.0
GER-Bundesliga,2425,Bayern Munich,Sven Ulreich,GER,GK,35,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sven Ulreich,7d3e7da6,40680.0,40680.0,0.5,6.0,6.0,-0.9166666666666666,-0.9166666666666666,-0.0003912387467886519,0.0,1.9704587302029997,0.05,6.0,23.0
GER-Bundesliga,2425,Bochum,Anthony Losilla,FRA,MF,38,1986,21,13,1137,12.6,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,3,45,11,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Anthony Losilla,07c7eb0c,111266.0,,0.5,0.9,0.9,-0.4444444444444445,-0.4444444444444445,0.0,0.0,0.19057789608400674,0.2,0.9,27.0
GER-Bundesliga,2425,Bochum,Bernardo,BRA,DF,29,1995,21,19,1782,19.8,0,0,0,0,0,0,5,0,0.7,0.7,0.7,1.4,14,100,14,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,Bernardo,17370b95,364258.0,,5.5,9.0,9.0,-0.3888888888888889,-0.3888888888888889,0.004084751028157724,0.0,2.4349135192350975,0.1,9.0,23.0
GER-Bundesliga,2425,Bochum,Cristian Gamboa,CRC,DF,34,1989,12,1,226,2.5,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.3,2,5,9,0.4,0.0,0.4,0.4,0.4,0.06,0.07,0.14,0.06,0.14,Cristian Gamboa,f27680d9,121686.0,,0.5,2.0,2.0,-0.75,-0.75,-0.0002138949724261839,0.0,0.5601538372880894,0.05,2.0,24.0
GER-Bundesliga,2425,Bochum,Dani de Wit,NED,"MF,FW",26,1998,28,11,1153,12.8,2,1,3,2,0,0,1,0,2.1,2.1,0.5,2.7,5,33,37,0.16,0.08,0.23,0.16,0.23,0.17,0.04,0.21,0.17,0.21,Dani de Wit,48a2b92a,340459.0,,2.5,5.0,5.0,-0.5,-0.5,4.172740433504155e-05,-0.5,1.5382904472172998,0.05,5.0,25.0
GER-Bundesliga,2425,Bochum,Felix Passlack,GER,"DF,MF",26,1998,31,30,2334,25.9,1,6,7,1,0,0,4,0,1.3,1.3,3.9,5.2,43,65,118,0.04,0.23,0.27,0.04,0.27,0.05,0.15,0.2,0.05,0.2,Felix Passlack,5c899683,274461.0,,2.0,3.0,3.0,-0.3333333333333333,-0.3333333333333333,0.0008384553997792059,-0.5,0.7080564056046569,0.5,3.0,18.0
GER-Bundesliga,2425,Bochum,Gerrit Holtmann,PHI,"DF,FW",29,1995,23,12,1136,12.6,2,1,3,2,0,0,2,0,2.0,2.0,2.9,4.9,50,33,97,0.16,0.08,0.24,0.16,0.24,0.16,0.23,0.39,0.16,0.39,Gerrit Holtmann,2979c05a,190289.0,,0.7,4.5,4.5,-0.8444444444444444,-0.8444444444444444,-0.004035637638455628,0.0,1.2418560461639423,0.025,4.5,26.0
GER-Bundesliga,2425,Bochum,Ibrahima Sissoko,MLI,MF,26,1997,32,30,2610,29.0,2,1,3,2,0,0,11,1,1.7,1.7,1.6,3.3,35,105,69,0.07,0.03,0.1,0.07,0.1,0.06,0.05,0.11,0.06,0.11,Ibrahima Sissoko,0f8418aa,372712.0,,6.0,8.0,8.0,-0.25,-0.25,-0.0023249325475816806,0.0,2.75461980200956,0.05,8.0,24.0
GER-Bundesliga,2425,Bochum,Ivan Ordets,UKR,DF,32,1992,22,21,1861,20.7,0,0,0,0,0,0,6,0,0.7,0.7,0.7,1.5,2,48,4,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,Ivan Ordets,86c75897,118850.0,,1.0,5.0,5.0,-0.8,-0.8,-0.002827375885082064,-0.8,1.1841714000776682,0.1,5.0,29.0
GER-Bundesliga,2425,Bochum,Lukas Daschner,GER,"MF,FW",25,1998,14,3,412,4.6,1,1,2,1,0,1,0,0,2.7,1.9,0.7,2.6,8,11,19,0.22,0.22,0.44,0.22,0.44,0.6,0.15,0.74,0.42,0.57,Lukas Daschner,93a8c4f9,334213.0,,0.9,1.5,1.5,-0.39999999999999997,-0.39999999999999997,0.00046328427126398806,-0.29999999999999993,0.4305865324238113,0.1,1.5,24.0
GER-Bundesliga,2425,Bochum,Maximilian Wittek,GER,DF,28,1995,33,32,2706,30.1,0,0,0,0,0,0,8,0,1.4,1.4,4.4,5.7,47,141,83,0.0,0.0,0.0,0.0,0.0,0.04,0.14,0.19,0.04,0.19,Maximilian Wittek,edb2712b,196793.0,,1.5,2.5,2.5,-0.4,-0.4,-0.0003647286992433129,-0.5,0.6305809029238637,0.05,2.5,26.0
GER-Bundesliga,2425,Bochum,Moritz Broschinski,GER,"FW,MF",23,2000,33,15,1390,15.4,1,3,4,1,0,0,1,0,4.2,4.2,1.8,6.0,37,20,130,0.06,0.19,0.26,0.06,0.26,0.27,0.12,0.39,0.27,0.39,Moritz Broschinski,bbd79358,406973.0,,2.0,3.0,3.0,-0.3333333333333333,-0.3333333333333333,0.0024938857871167346,-0.5,0.9075493558662985,0.075,3.0,23.0
GER-Bundesliga,2425,Bochum,Moritz-Broni Kwarteng,GHA,"MF,FW",26,1998,7,0,172,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,4,12,16,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.19,0.1,0.19,Moritz-Broni Kwarteng,1e2057aa,316575.0,,1.2,1.5,1.5,-0.20000000000000004,-0.20000000000000004,0.0010913278903002962,0.0,0.5408879205963643,0.025,1.5,25.0
GER-Bundesliga,2425,Bochum,Myron Boadu,NED,FW,23,2001,19,11,1042,11.6,9,1,10,8,1,1,2,0,7.7,6.9,1.1,8.0,12,18,70,0.78,0.09,0.86,0.69,0.78,0.67,0.1,0.76,0.6,0.69,Myron Boadu,5b479568,412932.0,,7.0,20.0,20.0,-0.65,-0.65,-0.005809204645159873,0.0,6.063509709730826,0.35,20.0,18.0
GER-Bundesliga,2425,Bochum,Philipp Hofmann,GER,FW,31,1993,32,27,2277,25.3,3,3,6,3,0,0,4,0,5.5,5.5,3.3,8.8,8,53,112,0.12,0.12,0.24,0.12,0.24,0.22,0.13,0.35,0.22,0.35,Philipp Hofmann,877bc844,119037.0,,1.0,2.8,2.8,-0.6428571428571428,-0.6428571428571428,-0.0011623086461486217,-0.5,0.7174728992171837,0.075,2.8,30.0
GER-Bundesliga,2425,Bochum,Samuel Bamba,GER,"FW,MF",20,2004,5,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,5,8,0.0,0.0,0.0,0.0,0.0,0.35,0.1,0.45,0.35,0.45,Samuel Bamba,489d4867,684318.0,,0.5,0.8,0.8,-0.37500000000000006,-0.37500000000000006,0.0005361792240919079,-0.30000000000000004,0.27156951228000537,0.15,0.8,20.0
GER-Bundesliga,2425,Bochum,Tim Oermann,GER,DF,20,2003,29,26,2213,24.6,0,2,2,0,0,0,0,0,0.2,0.2,0.6,0.8,15,61,16,0.0,0.08,0.08,0.0,0.08,0.01,0.02,0.03,0.01,0.03,Tim Oermann,57ec75bf,696164.0,,5.0,4.0,4.0,0.25,0.25,0.005018706375938818,0.0,2.047220337704545,0.2,5.0,21.0
GER-Bundesliga,2425,Bochum,Timo Horn,GER,GK,31,1993,13,13,1170,13.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Timo Horn,3cd9e95a,84938.0,,0.8,12.0,12.0,-0.9333333333333332,-0.9333333333333332,-0.0014934813063796476,0.0,3.42985348928831,0.1,12.0,24.0
GER-Bundesliga,2425,Dortmund,Alexander Meyer,GER,GK,33,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Alexander Meyer,b56dd813,76158.0,,0.8,1.0,1.0,-0.19999999999999996,-0.19999999999999996,-0.00010694990858446485,0.0,0.30211808591648043,0.05,1.0,31.0
GER-Bundesliga,2425,Dortmund,Ayman Azhil,MAR,MF,23,2001,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ayman Azhil,ce81d82d,452068.0,,0.7,0.5,0.6,0.3999999999999999,0.16666666666666663,0.0003119807997582236,0.0,0.20500369545819205,0.05,0.7,23.0
GER-Bundesliga,2425,Dortmund,Carney Chukwuemeka,ENG,MF,20,2003,10,1,253,2.8,1,0,1,1,0,0,1,0,0.6,0.6,0.9,1.5,15,18,24,0.36,0.0,0.36,0.36,0.36,0.21,0.32,0.54,0.21,0.54,Carney Chukwuemeka,b2f9c73e,659459.0,,18.0,15.0,15.0,0.2,0.2,0.005482776302014714,3.0,6.437461385585866,1.0,18.0,21.0
GER-Bundesliga,2425,Dortmund,Emre Can,GER,"DF,MF",30,1994,31,23,2105,23.4,3,0,3,1,2,2,4,1,2.0,0.4,0.7,1.1,20,116,12,0.13,0.0,0.13,0.04,0.04,0.08,0.03,0.11,0.02,0.05,Emre Can,a65ce836,119296.0,,7.0,40.0,40.0,-0.825,-0.825,-0.00809736409968702,0.0,10.520099048828156,0.15,40.0,25.0
GER-Bundesliga,2425,Dortmund,Felix Nmecha,GER,MF,23,2000,26,19,1509,16.8,4,1,5,4,0,0,3,0,1.3,1.3,1.1,2.4,21,85,27,0.24,0.06,0.3,0.24,0.3,0.08,0.07,0.15,0.08,0.15,Felix Nmecha,091c86e2,406640.0,,28.0,25.0,25.0,0.12,0.12,0.026661726101130302,0.0,11.670154240625957,0.45,28.0,24.0
GER-Bundesliga,2425,Dortmund,Gio Reyna,USA,MF,21,2002,16,3,350,3.9,2,0,2,2,0,0,3,0,0.2,0.2,0.2,0.4,5,22,19,0.51,0.0,0.51,0.51,0.51,0.04,0.06,0.1,0.04,0.1,Gio Reyna,7fa4e703,504215.0,,7.0,42.0,42.0,-0.8333333333333334,-0.8333333333333334,-0.02633073676818147,-3.0,12.041895068555664,6.0,42.0,18.0
GER-Bundesliga,2425,Dortmund,Gregor Kobel,SUI,GK,26,1997,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gregor Kobel,cd59b9df,257814.0,,40.0,40.0,40.0,0.0,0.0,0.016318890817993967,0.0,15.456427465620894,0.025,40.0,26.0
GER-Bundesliga,2425,Dortmund,Julian Brandt,GER,MF,28,1996,30,28,2303,25.6,5,10,15,5,0,0,1,0,4.8,4.8,8.5,13.2,61,149,199,0.2,0.39,0.59,0.2,0.59,0.19,0.33,0.52,0.19,0.52,Julian Brandt,a167537f,187492.0,,25.0,50.0,50.0,-0.5,-0.5,-0.002253402047421337,0.0,14.456979676392866,0.5,50.0,23.0
