url,title,price,area_m2,floor,rooms,location,Típus,Szintek száma,Állapot,scrape_date,Fűtés,Energetikai besorolás,Napelem,Építés éve,Erkély,,Tervezett átadás,Terasz,Átlagos rezsiköltség
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-vi-kerulet/8652739?page=2&pos=16&cr=348,Budapest VI. kerület eladó téglalakás 4 szobás: 264 millió Ft,264.0,147.0,147 m²,4.0,"Budapest VI. kerület, Zichy Jenő utca",Téglalakás,,,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1920,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-vi-kerulet/8651438?page=2&pos=17&cr=348,"Budapest VI. kerület eladó téglalakás 2 szobás: 269,9 millió Ft",,,,,,,,,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-vi-kerulet/8655239?page=2&pos=18&cr=348,"Budapest VI. kerület eladó téglalakás 2 szobás: 69,99 millió Ft",69.99,57.0,57 m²,2.0,"Budapest VI. kerület, Teréz körút",Téglalakás,,,2025-08-17,Gáz (konvektor),Nem adta meg a hirdető,,1910,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-vi-kerulet/8662293?page=2&pos=19&cr=348,"Budapest VI. kerület eladó téglalakás 3 szobás: 94,9 millió Ft",94.9,85.0,85 m²,3.0,Budapest VI. kerület,Téglalakás,,,2025-08-17,Gáz (konvektor),Nem adta meg a hirdető,,1960,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-vi-kerulet/8659804?page=2&pos=20&cr=348,Budapest VI. kerület eladó téglalakás 5 szobás: 225 millió Ft,225.0,150.0,150 m²,5.0,Budapest VI. kerület,Téglalakás,,,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1892,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-vi-kerulet/8654382?page=3&pos=1&cr=348,Budapest VI. kerület eladó téglalakás 2 szobás: 115 millió Ft,115.0,80.0,80 m²,2.0,"Budapest VI. kerület, Podmaniczky utca",Téglalakás,4,Újszerű,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1930,4 m²,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-vi-kerulet/8659972?page=3&pos=2&cr=348,"Budapest VI. kerület eladó téglalakás 3 szobás: 100,9 millió Ft",100.9,67.0,67 m²,3.0,Budapest VI. kerület,Téglalakás,5,Átlagos,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1900,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-vi-kerulet/8652906?page=3&pos=3&cr=348,"Budapest VI. kerület eladó téglalakás 2 szobás: 61,9 millió Ft",61.9,51.0,51 m²,2.0,Budapest VI. kerület,Téglalakás,3,Felújítandó,2025-08-17,Gáz (konvektor),Nem adta meg a hirdető,,1930,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xvi-kerulet-sashalom/8663528?page=3&pos=4&cr=325,"Budapest XVI. kerület eladó téglalakás 2+3 fél szobás: 106,68 millió Ft",106.68,85.0,85 m²,2.0,"Budapest XVI. kerület, Sashalom, Sárgarózsa utca",Téglalakás,2,Felújított,2025-08-17,Gázkazán,F,Nincs,1995,7 m²,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet/8417985?page=3&pos=5&cr=325,"Eladó 3 szobás téglalakás 125,8 millió Ft értékben Budapest XIII. kerületben - Metropol13 4. ütem lakóparkban",125.8,55.0,55 m²,3.0,Budapest XIII. kerület,Téglalakás,9,Új építésű,2025-08-17,Hőszivattyú,A+,,,"23,1 m²",,2025. 4. negyedév,,
